Title,Year,Directors,WatchedDate,Rating,Rating10
Pet Sematary,1989,Mary Lambert,2019-03-22,3.5,7
"Saló, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,2019-03-15,4.0,8
Spartacus,1960,Stanley Kubrick,2019-03-15,4.5,9
Killing God,2017,"Albert Pintó, Caye Casas",2019-03-09,3.0,6
Gone With the Wind,1939,"Victor Fleming, George Cukor",2019-03-07,4.0,8
Funny Games,1997,Michael Haneke,2019-03-02,4.0,8
Out of Africa,1985,Sydney Pollack,2019-03-01,3.5,7
Beetlejuice,1988,Tim Burton,2019-03-01,3.5,7
The Godfathers of Hardcore,2017,Ian McFarland,2019-02-23,4.0,8
Legend of the Guardians,2010,Zack Snyder,2019-02-22,4.0,8
The Cabin in the Woods,2012,Drew Goddard,2019-02-22,3.0,6
Mother of Tears,2007,Dario Argento,2019-02-16,2.5,5
Colossal,2016,Nacho Vigalondo,2019-02-09,3.5,7
Inferno,1980,Dario Argento,2019-02-02,3.0,6
Moonrise Kingdom,2012,Wes Anderson,2019-02-01,3.5,7
Eight and a Half (8½),1963,Federico Fellini,2019-01-31,3.5,7
The Exterminating Angel,1962,Luis Buñuel,2019-01-26,3.5,7
To Be or Not to Be,1942,Ernst Lubitsch,2019-01-26,4.0,8
The Angry Birds Movie,2016,"Clay Kaytis, Fergal Reilly",2019-01-25,3.0,6
The 400 Blows,1959,François Truffaut,2019-01-17,3.5,7
The Boxtrolls,2014,"Graham Annable, Anthony Stacchi",2019-01-12,3.5,7
Suspiria,1977,Dario Argento,2018-12-31,3.5,7
Baby Driver,2017,Edgar Wright,2018-12-26,3.5,7
T2: Trainspotting,2017,Danny Boyle,2018-12-26,4.0,8
Swiss Army Man,2016,"Dan Kwan, Daniel Scheinert",2018-12-25,3.0,6
The Grinch,2018,"Yarrow Cheney, Scott Mosier",2018-12-25,3.0,6
Jiro Dreams of Sushi,2011,David Gelb,2018-12-25,4.0,8
Lucy,2014,Luc Besson,2018-12-24,3.0,6
Hugo,2011,Martin Scorsese,2018-12-24,4.0,8
The Incredibles 2,2018,Brad Bird,2018-12-23,3.5,7
Ralph Breaks the Internet,2018,"Rich Moore, Phil Johnston",2018-12-14,3.5,7
Ice Age: Collision Course,2016,"Mike Thurmeier, Galen T. Chu",2018-12-06,3.0,6
The Oxford Murders,2008,Álex de la Iglesia,2018-12-04,3.0,6
The Ballad of Buster Scruggs,2018,"Joel Coen, Ethan Coen",2018-12-01,3.0,6
"Lots of Kids, a Monkey and a Castle",2017,Gustavo Salmerón,2018-11-30,3.0,6
Hostel,2005,Eli Roth,2018-11-24,3.5,7
Ice Age,2002,"Chris Wedge, Carlos Saldanha",2018-11-23,3.5,7
Ice Age: Continental Drift,2012,"Steve Martino, Mike Thurmeier",2018-11-23,3.5,7
Wreck-It Ralph,2012,Rich Moore,2018-11-23,4.0,8
Isle of Dogs,2018,Wes Anderson,2018-11-23,4.0,8
Training Day,2001,Antoine Fuqua,2018-11-15,4.0,8
Flashdance,1983,Adrian Lyne,2018-11-10,4.0,8
El mundo es nuestro,2012,Alfonso Sánchez,2018-11-09,3.5,7
The Breakfast Club,1985,John Hughes,2018-11-03,4.0,8
Bohemian Rhapsody,2018,Bryan Singer,2018-11-02,4.0,8
Paranorman,2012,"Chris Butler, Sam Fell",2018-11-02,3.5,7
The Name of the Rose,1986,Jean-Jacques Annaud,2018-11-01,4.0,8
The Departed,2006,Martin Scorsese,2018-10-31,4.0,8
The Emperor's New Groove,2000,Mark Dindal,2018-10-31,4.0,8
A Monster Calls,2016,J.A. Bayona,2018-10-27,3.5,7
The Cabinet of Dr. Caligari,1920,Robert Wiene,2018-10-26,3.5,7
What We Do in the Shadows,2014,"Taika Waititi, Jemaine Clement",2018-10-20,4.5,9
Halloween,2007,Rob Zombie,2018-10-19,3.0,6
The Usual Suspects,1995,Bryan Singer,2018-10-18,4.0,8
The Purge,2013,James DeMonaco,2018-10-13,2.5,5
The Boy in the Striped Pajamas,2008,Mark Herman,2018-10-13,3.5,7
Titanic,1997,James Cameron,2018-10-13,3.0,6
The Pelican Brief,1993,Alan J. Pakula,2018-10-12,3.0,6
All the President's Men,1976,Alan J. Pakula,2018-10-12,3.5,7
State of Play,2009,Kevin Macdonald,2018-10-11,3.5,7
Get Out,2017,Jordan Peele,2018-10-11,3.5,7
What Have I Done to Deserve This?,1984,Pedro Almodóvar,2018-10-10,3.5,7
Train to Busan,2016,Yeon Sang-ho,2018-10-10,3.5,7
Halloween,1978,John Carpenter,2018-10-06,3.5,7
31,2016,Rob Zombie,2018-10-05,3.5,7
Cool Hand Luke,1967,Stuart Rosenberg,2018-10-04,4.0,8
Whisper of the Heart,1995,Yoshifumi Kondô,2018-10-04,4.0,8
A Streetcar Named Desire,1951,Elia Kazan,2018-10-03,3.5,7
Marrowbone,2017,Sergio G. Sánchez,2018-09-29,3.5,7
Only Yesterday,1991,Isao Takahata,2018-09-28,3.5,7
